"Category","Description","Nutrient Data Bank Number","Data.Alpha Carotene","Data.Ash","Data.Beta Carotene","Data.Beta Cryptoxanthin","Data.Carbohydrate","Data.Cholesterol","Data.Choline","Data.Fiber","Data.Kilocalories","Data.Lutein and Zeaxanthin","Data.Lycopene","Data.Manganese","Data.Niacin","Data.Pantothenic Acid","Data.Protein","Data.Refuse Percentage","Data.Retinol","Data.Riboflavin","Data.Selenium","Data.Sugar Total","Data.Thiamin","Data.Water","Data.Fat.Monosaturated Fat","Data.Fat.Polysaturated Fat","Data.Fat.Saturated Fat","Data.Fat.Total Lipid","Data.Household Weights.1st Household Weight","Data.Household Weights.1st Household Weight Description","Data.Household Weights.2nd Household Weight","Data.Household Weights.2nd Household Weight Description","Data.Major Minerals.Calcium","Data.Major Minerals.Copper","Data.Major Minerals.Iron","Data.Major Minerals.Magnesium","Data.Major Minerals.Phosphorus","Data.Major Minerals.Potassium","Data.Major Minerals.Sodium","Data.Major Minerals.Zinc","Data.Vitamins.Vitamin A - IU","Data.Vitamins.Vitamin A - RAE","Data.Vitamins.Vitamin B12","Data.Vitamins.Vitamin B6","Data.Vitamins.Vitamin C","Data.Vitamins.Vitamin E","Data.Vitamins.Vitamin K"
"CARBONATED BEV","CARBONATED BEV,ROOT BEER","14157","0","0.1","0","0","10.6","0","0","0.0","41","0","0","0.013","0.0","0.0","0.0","0","0","0.0","0.1","10.60000038","0.0","89.3","0.0","0.0","0.0","0.0","30.8","1 fl oz","493","1 can,  or bottle (16 fl oz)","5","0.007","0.05","1","0","1","13","0.07","0","0","0.0","0.0","0.0","0.0","0.0"
"ALCOHOLIC BEV","ALCOHOLIC BEV,WINE,TABLE,RED,GAMAY","14158","0","0.21","0","0","2.38","0","0","0.0","78","0","0","0.0","0.0","0.0","0.07","0","0","0.0","0.0","0.0","0.0","87.49","0.0","0.0","0.0","0.0","29.39","1 fl oz","147","1 serving,  5 fl oz","0","0.0","0.0","0","0","0","0","0.0","0","0","0.0","0.0","0.0","0.0","0.0"
"ALCOHOLIC BEV","ALCOHOLIC BEV,WINE,TABLE,RED,MOUVEDRE","14159","0","0.29","0","0","2.64","0","0","0.0","88","0","0","0.0","0.0","0.0","0.07","0","0","0.0","0.0","0.0","0.0","85.81","0.0","0.0","0.0","0.0","29.37","1 fl oz","147","1 serving,  5 fl oz","0","0.0","0.0","0","0","0","0","0.0","0","0","0.0","0.0","0.0","0.0","0.0"
"CARBONATED BEV","CARBONATED BEV,LO CAL,COLA OR PEPR,W/ NA SACC,CONTAINS CAFFN","14166","0","0.1","0","0","0.1","0","0","0.0","0","0","0","0.009","0.0","0.0","0.0","0","0","0.0","0.1","0.0","0.0","99.8","0.0","0.0","0.0","0.0","29.6","1 fl oz","474","1 bottle,  (16 fl oz)","4","0.013","0.02","1","11","4","16","0.03","0","0","0.0","0.0","0.0","0.0","0.0"
"CAROB-FLAVOR BEV MIX","CAROB-FLAVOR BEV MIX,PDR","14168","0","1.9","0","0","93.3","0","0","8.0","372","0","0","0.063","0.76","0.006","1.8","0","0","0.001","1.5","0.0","0.009","2.9","0.06","0.068","0.03","0.2","12.0","1 tbsp","0","","32","0.06","4.6","5","7","104","103","0.08","0","0","0.0","0.124","0.0","0.0","0.0"
"CAROB-FLAVOR BEV MIX","CAROB-FLAVOR BEV MIX,PDR,PREP W/ WHL MILK","14169","0","0.75","0","0","8.68","10","0","0.400000006","75","0","0","0.006","0.138","0.346","3.16","0","27","0.174","3.6","0.0","0.042","84.32","0.777","0.189","1.779","3.11","256.0","1 cup,  (8 fl oz)","0","","98","0.025","0.25","10","80","131","46","0.37","97","27","0.42","0.04","0.0","0.0","0.0"
"CHOCOLATE-FLAVOR BEV MIX FOR MILK","CHOCOLATE-FLAVOR BEV MIX FOR MILK,PDR,WO/ ADDED NUTR","14175","0","1.8","0","0","90.9","0","16","4.800000191","405","6","0","0.707","0.511","0.041","3.3","0","0","0.146","2.6","83.87999725","0.032","0.9","1.009","0.091","1.834","3.1","21.6","1 portion,  (2-3 heaping tsp)","0","","37","0.705","3.14","98","128","591","210","1.55","0","0","0.0","0.01","0.7","0.37","8.1"
"CHOCOLATE-FLAVOR BEV MIX","CHOCOLATE-FLAVOR BEV MIX,PDR,PREP W/ WHL MILK","14177","0","0.78","5","0","11.91","9","0","0.400000006","85","0","0","0.064","0.142","0.336","3.23","0","26","0.18","3.6","12.10000038","0.043","80.79","0.829","0.186","1.86","3.24","266.0","1 cup,  (8 fl oz)","0","","95","0.082","0.3","18","88","172","58","0.48","94","26","0.4","0.034","0.1","0.06","0.3"
"No Category","CHOCOLATE SYRUP","14181","0","0.67","0","0","65.1","0","1","2.599999905","279","3","0","0.382","0.322","0.013","2.1","0","0","0.05","1.4","49.65000153","0.009","31.0","0.286","0.026","0.519","1.13","38.5","1 serving, 2 tbsp","300","1 cup","14","0.512","2.11","65","129","224","72","0.73","0","0","0.0","0.006","0.2","0.02","0.5"
"CHOCOLATE SYRUP","CHOCOLATE SYRUP,PREP W/ WHL MILK","14182","0","0.69","4","0","12.78","9","0","0.300000012","90","0","0","0.055","0.137","0.315","3.07","0","24","0.165","3.4","11.31000042","0.039","80.51","0.74","0.172","1.681","2.96","282.0","1 cup,  (8 fl oz)","0","","89","0.09","0.32","18","90","145","47","0.43","88","25","0.38","0.032","0.0","0.05","0.2"
